Attraction_Name,Attraction_Description,Attraction_Type,Entry_Type,Time_To_Spend,City_ID,Attraction_ID
California Academy of Sciences,The Steinhart Aquarium is home to about 40000 animals representing more than 900 different species including a penguin colony from Africa a swamp with an albino alligator a shark lagoon and a separate 100000-gallon tank that mirrors the ecosystem of the California coast. Meanwhile the Osher Rainforest houses 1600 animals including 250 free-flying birds and about 100 reptiles and amphibians in its four-story complex. The Morrison Planetarium is known for its 75-foot-diameter screen which screens Tour of the Universe shows daily. And the Kimball Natural History Museum boasts dinosaur fossils an interactive science exhibit and a unique earthquake simulator. ,Museum,Paid,Half day to full day,sanfransisco,californiaacademyofsciences
Golden Gate Park,If California had a Central Park equivalent Golden Gate Park would undoubtedly be it. Though Golden Gate Park sees a small fraction of the visitors its New York counterpart does (Central Park gets upwards of 25 million while Golden Gate gets more than 13 million yearly) its about 174 acres bigger (Central Park is 843 acres). The park offers so much to see and do it could take an entire day to experience all that it has to offer. Trails picturesque picnic spaces playgrounds sports courts gardens museums and more can be found within its evergreen borders. With so many options available its best to map out ahead of time what you want to do though some attractions warrant a visit regardless of traveler taste,Parks and Gardens,Paid,Half day to full day,sanfransisco,goldengatepark
Cable Cars,Chances are youve seen a television show movie postcard or some type of San Francisco memorabilia emblazoned with the citys iconic cable car or trolley. So of course to fully experience San Franciscos charm you should hop on board. San Franciscos cable car system is the last of its kind in the United States given the title of a National Historic Landmark in 1964. The cable car was conceived after Andrew Smith Hallidie an immigrant from England witnessed an accident involving a horse-drawn buggy trying to climb a steep San Francisco hill and failing. His father had a patent for wire rope in England and he used that to design a transportation system that relied on just that. Thus cable cars were born in the late 1800s. ,Sightseeing,Free,1 to 2 hours,sanfransisco,cablecars
Twin Peaks,If you want the best views of San Francisco take a hike to Twin Peaks. These famous grassy pounds rise 922 feet from the ground making them the second highest point in the city (after Mount Davidson). From the top travelers can view multiple San Francisco landmarks including the Bay Bridge and the downtown skyscrapers. Whether you decide to go during the day or night (some say you should do both) numerous visitors agree that the views are stunning and worth the trek. But make sure to bring a jacket: many recent visitors said it can get windier (and subsequently chillier) up top than at sea level.,Hiking,Free,2 hours to half day,sanfransisco,twinpeaks
The Castro,If you want to explore San Franciscos rich gay and lesbian culture the Castro neighborhood is its beating heart. Not only is the Castro the center of the citys LGBTQ community but its considered by many to be the gay capital of the world. And once you learn the Castros history its easy to see why. In the 1970s the Castro was home to Harvey Milk Californias first openly gay public official and one of the first in the USA. His steadfast efforts in the gay rights movement not only earned him the title the Mayor of Castro Street but his political efforts helped put San Francisco at the forefront of the gay rights movement. His former camera shop Castro Camera that also served as his campaign headquarters still stands on Castro Street and now serves as a Human Rights Campaign retail shop.,Neighborhood/Area,Free,2 hours to half day,sanfransisco,thecastro
Baker Beach,While San Francisco isnt known for being a beach town the citys Baker Beach is often considered one of the best in California. Located in the northwestern area of San Francisco in the Presidio Baker Beach is primarily known for its sweeping views of the Golden Gate Bridge and the neighboring Marin Headlands. The mile-long beach offers travelers plenty of room to spread their legs and features picnic areas and access to nearby Presidio trails. Travelers flock here to snap photos of the bridge however if youre looking to catch some rays or get your feet wet you should go elsewhere: Swimming at Baker Beach is dangerous thanks to large waves undertow and rip currents and the citys fickle weather means its not always warm enough for sunbathing.,Beaches,Free,1 to 2 hours,sanfransisco,bakerbeach
Ferry Building Marketplace,Attention all foodies: this delectable attraction needs to be at the top of your San Francisco to-do list. The Ferry Building Marketplace is a public food market that features a variety of food stalls that act as small restaurants snack stops and grocery stores. Here you can find everything from staples such as seafood burgers Mexican food and plenty of coffee to a Japanese delicatessen empanada stand nut shop and a cheese and dairy bar.,shopping,Free,1 to 2 hours,sanfransisco,ferrybuildingmarketplace
Union Square,Situated a couple blocks north of Market Street and southwest of the citys Financial District Union Square sits at the heart of downtown San Franciscos hustle and bustle. This area is loved by travelers and locals alike for its awesome location and incredible energy. Union Square Park is flanked by tall buildings (some of which are adorned with Time Square-size ads) and busy streets offering people the unique opportunity to sit in the middle of a busy city and enjoy the atmosphere without the risk of getting run over. The square also acts as a park outfitted with small grassy spaces and palm trees. There are also multiple seating areas and works of art dotted across the square. The most recognized are the tall Dewey monument situated in the center of the square and the regularly photographed Hearts of San Francisco sculpture found at the base of the square,Neighborhood/Area,Free,2 hours to half day,sanfransisco,unionsquare
Chinatown,While New York Citys Chinatown tends to take center stage in the USA San Franciscos Chinatown is just as much of a star. San Franciscos Chinatown hosts one of the largest Asian communities outside of Asia and is considered one the oldest in North America. Chinese immigrants first started coming to California in search of fortune during the Gold Rush. After being driven out of the gold mines (due to discrimination and restrictive legislation against Chinese immigrants) the Chinese moved to build businesses of their own in the area that is now Chinatown – one of the citys most visited neighborhoods. ,shopping,Free,1 to 2 hours,sanfransisco,chinatown
Brackenridge Park,When the River Walk seems too busy seek refuge from the heat and the swarms of tourists in Brackenridge Park. Its 343 acres offer much in the way of relaxation: rustic stone bridges and shaded walkways are perfect for strolling and the Japanese Tea Gardens and San Antonio Botanical Gardens beckon to botanists. Dress casual so you can take advantage of Brackenridges jogging trails golf course and athletic fields or let your kids take a spin on the carousel and the miniature train. The park also hosts outdoor concerts in the natural Sunken Garden Theater. In and around the park youll also find popular attractions like the San Antonio Zooand the Witte Museum.,Parks and Gardens,Free,Half day to full day,sanantanio,brackenridgepark
The Alamo,f theres one thing San Antonio is known for its the Alamo. Once a Franciscan mission it was here that 189 Texans fought and lost their lives in 1836 during a 13-day siege by Mexican ruler President General Antonio López de Santa Anna. The fight sparked Texas struggle for independence and today the Alamo stands as a tribute to these men displaying artifacts belonging to some of the Alamos most famous defenders including Davy Crockett and James Bowie. Once youve finished visiting the Alamo (either on your own or by guided tour) head around back where a small museum and research library offer further insight into the siege. Or take a twirl around the gift shop where you can find a variety of souvenirs to help you Remember the Alamo. Recent visitors say the site can get rather busy so try to visit early in the morning or later in the evening. Most visitors agree that even when its packed with tourists the Alamo is a must-see in San Antonio. T]he feeling of bravery and history that took place here makes it all worthwhile said one TripAdvisor user.,Churches,Free,1 to 2 hours,sanantanio,thealamo
River Walk,Many agree that the best way to see San Antonio is by taking a stroll along the River Walk or Paseo del Rio. San Antonios most-visited tourist attraction meanders along the banks of the San Antonio River through the center of the city connecting major attractions like Brackenridge Park and the San Antonio Museum of Art. Flanking the River Walk are dozens of restaurants boutique hotels and sidewalk cafes shaded by colorful umbrellas and street performers often fill the air with mariachi music. If youre in San Antonio in January dont miss the River Walk Mud Festival and Parade during which the river is drained and the muddy riverbed becomes the prime venue for celebration.,Neighborhood/Area,Free,1 to 2 hours,sanantanio,riverwalk
San Fernando Cathedral,If youre touring San Antonio the San Fernando Cathedral is hard to miss. Still an active house of worship the cathedral is one of the oldest in the country constructed in 1738 by colonists from the Canary Islands. It was here that Wild West legend James Bowie was married and that General Antonio López de Santa Anna indicated his plans for the Alamo. Some believe that many heroes from the Alamo (including Davy Crockett) are buried here in the unmarked tomb. And despite enduring damage from a fire in the late 19th century the San Fernando Cathedral maintains its antique appearance beckoning you to tour its breathtaking interior.,Churches,Free,1 to 2 hours,sanantanio,sanfernandocathedral
San Antonio Missions National Historical Park,Aside from the Alamo this is where all of San Antonios historic missions — Mission San José Mission Concepción Mission Espada and Mission San Juan — are located making this a must-see site for history buffs. Established along the San Antonio River in the 18th century by Franciscan friars the missions stand as a tribute to Spains success in spreading Catholicism through the Southwest and into Mexico. Each mission (located approximately 3 miles apart from one another) is beautiful in its own way from the undisturbed frescos at Mission Concepción to the Romanesque arches of Mission San Juan. Recent visitors suggest taking advantage of the free tours offered by the park rangers noting how much more they learned during their visit. You can also hike or bike the Mission Trail (there are also roads for visitors with cars) past each individual structure to learn about how the friars lived side-by-side with Native Americans. Scattered around the missions are remnants of granaries workshops and water mills,Churches,Free,2 hours to half day,sanantanio,sanantoniomissionsnationalhistoricalpark
San Antonio Museum of Art,Although it may not be as large as other art museums the San Antonio Museum of Art is a cultural gem thats not to be missed. It hosts top-notch collections of Native American Spanish colonial and Latin American art but its also home to the largest collection of Asian art in Texas not to mention a respectable grouping of more contemporary pieces. Visitors are consistently impressed by the rotating exhibits that feature work by renowned artists such as Matisse. The museum also holds a variety of special events every year ranging from film series to childrens programs,Museum,Free,2 hours to half day,sanantanio,sanantoniomuseumofart
Spanish Governor's Palace,Although it was never actually a palace this adobe building certainly looks the part with rooms heavily decorated in 18th-century furnishings and a spectacular cobblestone patio. This National Historic Landmark and former seat of the Spanish government (dating back to when San Antonio was the capital of Spains Texas territory) caters to both history buffs and art lovers. You can explore the property on your own or tag along on a guided tour during which staff members can explain everything from the buildings general history to the intricate carvings on the doorways. Recent visitors discourage visiting this site with kids however as theres little here to keep tots entertained,Sightseeing,Free,1 to 2 hours,sanantanio,spanishgovernorspalace
San Antonio Zoo and Aquarium,The San Antonio Zoo and Aquarium is a great alternative for animal-loving families who dont want to spend a fortune at SeaWorld. This 35-acre facility is home to one of the largest animal collections in the country (more than 700 species reside here). Exhibits include a butterfly habitat four-legged friends from the African plains and colorful critters from the Amazon. Take your younger kids by the Childrens Zoo which features rides and a hands-on discovery center. Special events such as safaris and training demonstrations take place throughout the year. And according to some one of the best things about this zoo is that parents wont have to worry about running into a gift shop at every turn,Zoo and Aquarium,,2 hours to half day,sanantanio,sanantoniozooandaquarium
SeaWorld San Antonio,Beat the Texas heat and take the kids to SeaWorld San Antonio a massive marine-themed amusement park. Get up close and personal with penguins dolphins sharks and sea lions in the walk-through habitats or cool down in the parks pools and water slides. And lets not forget Shamu everyones favorite killer whale who never fails to put on a great show. When you notice your fingers are beginning to prune dry off on one of SeaWorlds many non-aquatic rides (such as the Steel Eel hypercoaster or The Great White inverted roller coaster) or grab a bite to eat at one of the dozen concession stands located throughout the park,Amusement Park,Paid,Half day to full day,sanantanio,seaworldsanantonio
Witte Museum,If Six Flags and SeaWorld seem a little too daunting take your kids out for some educational amusement at the Witte Museum. This often-overlooked site delves deep into natural science anthropology and Texas history with exhibits featuring everything from dinosaurs to mummies to tarantulas. You can also take an in-depth look back through Texas intriguing past by exploring the historic log cabins located on the grounds. And dont forget to check out the interactive exhibits about the San Antonio River exhibits which include a hands-on water-works display and the popular H-E-B Science Treehouse.,Museum,Free,2 hours to half day,sanantanio,wittemuseum
Lincoln Memorial,Although the Lincoln Memorial is just one of the Districts many monuments the larger-than-life Honest Abe is also among travelers favorites. History buffs might enjoy the man of few (albeit powerful) words two famous speeches the second inaugural address and the Gettysburg Address which are both etched into the memorials opposing walls. Meanwhile art history and architecture aficionados will enjoy admiring the buildings striking design by Henry Bacon complete with 38 Doric columns 36 of which signify the states in the Union at the time Lincoln passed away,Monuments and Memorials,Free,Less than 1 hour,washington,lincolnmemorial
Vietnam Veterans and Korean War Veterans Memorials,One of the most moving war memorials the Vietnam Veterans Memorial – or the Wall as its commonly referred to – is a long black granite wall with the names of more than 58000 Americans who perished during the Vietnam War emblazoned on its surface. Recent travelers said their visits to the site were heartbreaking but thought-provoking and powerful adding that even the toughest of individuals will find it hard to not become emotional while reading the walls names. If youre looking for a specific person keep in mind that the soldiers names are ordered by the date they died not alphabetically. Also reviewers recommend using the attractions name books and visiting during the day when theres ample sunlight.,Monuments and Memorials,Free,Less than 1 hour,washington,vietnamveteransandkoreanwarveteransmemorials
The Tidal Basin,If youve never been to D.C. before plan to spend some time along the Tidal Basin a 2-mile-long pond that was once attached to the Potomac River and serves as the backdrop to some of D.C.s best-loved sites. Every spring the Tidal Basin bursts with color as cherry blossom trees (gifted to D.C. from Tokyo) bloom into cotton candy-colored tufts and they attract hordes of visitors. You can follow the path that leads around the basin but many recent visitors recommended testing the waters in a paddle boat. Paddle boats are available to rent starting March 15 for $18 per hour for a two-passenger boat or $30 per hour for a four-passenger boat. You can pick up a paddle boat every day from 10 a.m. to 6 p.m. from March 15 through October 9 from the boat dock near Maine Avenue.,Sightseeing,Free,1 to 2 hours,washington,thetidalbasin
Smithsonian National Air and Space Museum,Attracting millions of people each year the Smithsonian National Air and Space Museum contains a trove of celebrated aircraft including Amelia Earharts Lockheed Vega 5B Charles Lindberghs Spirit of St. Louis and Wilbur and Orville Wrights 1903 Wright Flyer among others. Exhibits include a flight simulator an IMAX theater and the Einstein Planetarium. And parents beware: The three-level gift shop is huge so get ready for pleas from your kids,Museum,Free,2 hours to half day,washington,smithsoniannationalairandspacemuseum
National Gallery of Art,If youre any kind of art connoisseur you should make a stop at the National Gallery of Art. Composed of the East Building which houses the gallerys more modern works (think: Henri Matisse and Mark Rothko) and the West Building which contains the collections older works (from Sandro Botticelli to Claude Monet) this museum has enough to fill an entire afternoon; pace yourself and maybe order a coffee gelato or lunch at one of the gallerys five bars and cafes.,Museum,Free,2 hours to half day,washington,nationalgalleryofart
The John F. Kennedy Center for the Performing Arts,Many travelers highly recommend a visit to The John F. Kennedy Center for the Performing Arts built and named for Americas beloved Camelot president. The Kennedy Center houses the National Symphony Orchestra the Suzanne Farrell Ballet and the Washington National Opera as well as a number of other theater and musical performances throughout the year. Although ticket prices run a bit high you can take in a performance for free on the Millennium Stage.,Entertainment,Free,2 hours to half day,washington,thejohnf.kennedycenterfortheperformingarts
United States Holocaust Memorial Museum,You need to be in the right frame of mind to visit this sobering museum that focuses on the atrocities of the Holocaust during World War II. Upon entering the United States Holocaust Memorial Museum youll be given an identification card with the name and personal information of an actual person who experienced the Holocaust; as you move through the exhibits – Hitlers rise to power anti-Semitic propaganda the horrors of the Final Solution – youll be given updates on your persons well-being.,Museum,Free,2 hours to half day,washington,unitedstatesholocaustmemorialmuseum
Smithsonian National Museum of Natural History,With more than 126 million artifacts on display this robust Smithsonian museum on the National Mall attracts millions of visitors each year. Some of the museums highlights include tarantula feedings in the O. Orkin Insect Zoo and the replicas of giant whales and other marine life in the 23000-square-foot Sant Ocean Hall. You can also venture to the Samuel C. Johnson IMAX Theater for a show or the Butterfly Pavilion for some fluttery fun with multi-colored bugs. And no stop at the Smithsonian Museum of Natural History would be complete without stopping by the David H. Koch Hall of Human Origins which traces the history of human species over the past 6 million years and displays life-size models of early human faces generated using modern forensic techniques. While the museums famous National Fossil Hall is currently closed while it undergoes renovations dinosaur fossils can be viewed in The Last American Dinosaurs: Discovering a Lost World exhibit on the second floor.,Museum,Free,2 hours to half day,washington,smithsoniannationalmuseumofnaturalhistory
Washington National Cathedral,Construction first began on this massive cathedral – the sixth largest in the world –  in 1907 but it wasnt actually completed until 1990. Designed in the Gothic style the Washington National Cathedral sits surrounded by gardens creating a pleasant atmosphere for visitors. Take a stroll around the cathedral and peer at its high vaults and flying buttresses or step inside to admire its intricate glass-stained windows. Another highlight is the cathedrals Gargoyle Tour. This tour – offered between May and September – gives you a chance to gaze up at the buildings stony grotesques and gargoyles.,Sightseeing,Free,1 to 2 hours,washington,washingtonnationalcathedral
National World War II Memorial,A popular memorial the National World War II Memorial was dedicated in 2004 to the 400000-plus Americans who died during the war. A circle of 56 pilings (representing the then 56 U.S. states and territories) looks over the Rainbow Pool. At night with lights shining this memorial can be quite ethereal.,Monuments and Memorials,Free,Less than 1 hour,washington,nationalworldwariimemorial
